organization_id,name,organization_type,place_id,district,member_count,team_count,employee_capacity,name_source,is_real_name,match_confidence,max_match_distance_m,work_place_count,source,source_id,source_url,description
ORG_N1024585333,F45 Training,gym,PL_N1024585333,Old Toronto,1,1,20,osm_name,true,verified,0.0,1,OpenStreetMap,N1024585333,https://www.openstreetmap.org/node/1024585333,OpenStreetMap name cached during data preparation: F45 Training. No external company lookup occurs during runtime.
ORG_N10253671824,Splashables,retail,PL_N10253671824,Old Toronto,1,1,15,osm_name,true,verified,0.0,1,OpenStreetMap,N10253671824,https://www.openstreetmap.org/node/10253671824,OpenStreetMap name cached during data preparation: Splashables. No external company lookup occurs during runtime.
ORG_N10271792634,Hilton Garden Inn Toronto Airport,hotel,PL_N10271792634,Brampton,1,1,40,osm_name,true,verified,0.0,1,OpenStreetMap,N10271792634,https://www.openstreetmap.org/node/10271792634,OpenStreetMap name cached during data preparation: Hilton Garden Inn Toronto Airport. No external company lookup occurs during runtime.
ORG_N10272575777,Luxoft,office,PL_N10272575777,Old Toronto,1,1,80,osm_nearby_name,true,medium,47.7,1,OpenStreetMap,N10272575777,https://www.openstreetmap.org/node/10272575777,OpenStreetMap name cached during data preparation: Luxoft. No external company lookup occurs during runtime.
ORG_N10272669587,Epam,office,PL_N10272669587,North York,1,1,80,osm_nearby_name,true,medium,59.7,1,OpenStreetMap,N10272669587,https://www.openstreetmap.org/node/10272669587,OpenStreetMap name cached during data preparation: Epam. No external company lookup occurs during runtime.
ORG_N10284950895,Magellan Aerospace,office,PL_N10284950895,Brampton,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10284950895,https://www.openstreetmap.org/node/10284950895,OpenStreetMap name cached during data preparation: Magellan Aerospace. No external company lookup occurs during runtime.
ORG_N10290303700,"Runsensible, Inc",office,PL_N10290303700,Markham,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10290303700,https://www.openstreetmap.org/node/10290303700,"OpenStreetMap name cached during data preparation: Runsensible, Inc. No external company lookup occurs during runtime."
ORG_N10300704448,Happy Feet,gym,PL_N10300704448,Old Toronto,1,1,20,osm_name,true,verified,0.0,1,OpenStreetMap,N10300704448,https://www.openstreetmap.org/node/10300704448,OpenStreetMap name cached during data preparation: Happy Feet. No external company lookup occurs during runtime.
ORG_N10537982829,"De Bousquet PC, Barristers and Solicitors",office,PL_N10537982829,Old Toronto,12,2,80,osm_nearby_name,true,medium,46.0,3,OpenStreetMap,N10537982829,https://www.openstreetmap.org/node/10537982829,"OpenStreetMap name cached during data preparation: De Bousquet PC, Barristers and Solicitors. No external company lookup occurs during runtime."
ORG_N10559886561,M Najafi,retail,PL_N10559886561,North York,1,1,15,osm_name,true,verified,0.0,1,OpenStreetMap,N10559886561,https://www.openstreetmap.org/node/10559886561,OpenStreetMap name cached during data preparation: M Najafi. No external company lookup occurs during runtime.
ORG_N10572767999,Starbucks,cafe,PL_N10572767999,Brampton,1,1,8,osm_name,true,verified,0.0,1,OpenStreetMap,N10572767999,https://www.openstreetmap.org/node/10572767999,OpenStreetMap name cached during data preparation: Starbucks. No external company lookup occurs during runtime.
ORG_N10572768000,Starbucks,cafe,PL_N10572768000,Brampton,1,1,8,osm_name,true,verified,0.0,1,OpenStreetMap,N10572768000,https://www.openstreetmap.org/node/10572768000,OpenStreetMap name cached during data preparation: Starbucks. No external company lookup occurs during runtime.
ORG_N10608697442,Andrew McCully Financial,office,PL_N10608697442,Markham,2,1,80,osm_name,true,medium,93.4,2,OpenStreetMap,N10608697442,https://www.openstreetmap.org/node/10608697442,OpenStreetMap name cached during data preparation: Andrew McCully Financial. No external company lookup occurs during runtime.
ORG_N10647678192,Thai Room,restaurant,PL_N10647678192,Scarborough,2,1,12,osm_name,true,verified,0.0,1,OpenStreetMap,N10647678192,https://www.openstreetmap.org/node/10647678192,OpenStreetMap name cached during data preparation: Thai Room. No external company lookup occurs during runtime.
ORG_N10647679866,Centennial College Performing Arts Centre,university,PL_N10647679866,Scarborough,1,1,120,osm_name,true,verified,0.0,1,OpenStreetMap,N10647679866,https://www.openstreetmap.org/node/10647679866,OpenStreetMap name cached during data preparation: Centennial College Performing Arts Centre. No external company lookup occurs during runtime.
ORG_N10649931437,Royal LePage,office,PL_N10649931437,North York,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10649931437,https://www.openstreetmap.org/node/10649931437,OpenStreetMap name cached during data preparation: Royal LePage. No external company lookup occurs during runtime.
ORG_N10671887620,A-ok cafe,cafe,PL_N10671887620,Markham,2,1,8,osm_name,true,verified,0.0,1,OpenStreetMap,N10671887620,https://www.openstreetmap.org/node/10671887620,OpenStreetMap name cached during data preparation: A-ok cafe. No external company lookup occurs during runtime.
ORG_N10676976487,Faire,office,PL_N10676976487,Old Toronto,1,1,80,osm_nearby_name,true,high,24.6,1,OpenStreetMap,N10676976487,https://www.openstreetmap.org/node/10676976487,OpenStreetMap name cached during data preparation: Faire. No external company lookup occurs during runtime.
ORG_N10684576105,Gong Cha,cafe,PL_N10684576105,Brampton,1,1,8,osm_name,true,verified,0.0,1,OpenStreetMap,N10684576105,https://www.openstreetmap.org/node/10684576105,OpenStreetMap name cached during data preparation: Gong Cha. No external company lookup occurs during runtime.
ORG_N10684576108,35 Resolution Drive,restaurant,PL_N10684576108,Brampton,1,1,12,osm_name,true,verified,0.0,1,OpenStreetMap,N10684576108,https://www.openstreetmap.org/node/10684576108,OpenStreetMap name cached during data preparation: 35 Resolution Drive. No external company lookup occurs during runtime.
ORG_N10695404995,Brafasco,office,PL_N10695404995,Brampton,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10695404995,https://www.openstreetmap.org/node/10695404995,OpenStreetMap name cached during data preparation: Brafasco. No external company lookup occurs during runtime.
ORG_N10695426371,Sketchers,office,PL_N10695426371,Brampton,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10695426371,https://www.openstreetmap.org/node/10695426371,OpenStreetMap name cached during data preparation: Sketchers. No external company lookup occurs during runtime.
ORG_N10695426372,Profound,office,PL_N10695426372,Brampton,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10695426372,https://www.openstreetmap.org/node/10695426372,OpenStreetMap name cached during data preparation: Profound. No external company lookup occurs during runtime.
ORG_N10695444667,Anytime Fitness,gym,PL_N10695444667,Brampton,2,1,20,osm_name,true,verified,0.0,1,OpenStreetMap,N10695444667,https://www.openstreetmap.org/node/10695444667,OpenStreetMap name cached during data preparation: Anytime Fitness. No external company lookup occurs during runtime.
ORG_N10722401736,Dong Huong DH Multi Services Enterprises,office,PL_N10722401736,Old Toronto,2,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10722401736,https://www.openstreetmap.org/node/10722401736,OpenStreetMap name cached during data preparation: Dong Huong DH Multi Services Enterprises. No external company lookup occurs during runtime.
ORG_N10728242789,BlogTO,office,PL_N10728242789,Old Toronto,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10728242789,https://www.openstreetmap.org/node/10728242789,OpenStreetMap name cached during data preparation: BlogTO. No external company lookup occurs during runtime.
ORG_N10728250622,Instacart,office,PL_N10728250622,Old Toronto,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10728250622,https://www.openstreetmap.org/node/10728250622,OpenStreetMap name cached during data preparation: Instacart. No external company lookup occurs during runtime.
ORG_N10743248730,RE/MAX,office,PL_N10743248730,Markham,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10743248730,https://www.openstreetmap.org/node/10743248730,OpenStreetMap name cached during data preparation: RE/MAX. No external company lookup occurs during runtime.
ORG_N10765170820,Peggs Ruchelman Transfer Pricing Economics Ltd.,office,PL_N10765170820,Old Toronto,2,1,80,osm_name,true,high,23.3,2,OpenStreetMap,N10765170820,https://www.openstreetmap.org/node/10765170820,OpenStreetMap name cached during data preparation: Peggs Ruchelman Transfer Pricing Economics Ltd.. No external company lookup occurs during runtime.
ORG_N10780162890,Heritage Fish & Chips,restaurant,PL_N10780162890,Brampton,1,1,12,osm_name,true,verified,0.0,1,OpenStreetMap,N10780162890,https://www.openstreetmap.org/node/10780162890,OpenStreetMap name cached during data preparation: Heritage Fish & Chips. No external company lookup occurs during runtime.
ORG_N10780162897,RE/MAX,office,PL_N10780162897,Brampton,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10780162897,https://www.openstreetmap.org/node/10780162897,OpenStreetMap name cached during data preparation: RE/MAX. No external company lookup occurs during runtime.
ORG_N10780162899,Tikka Junction,restaurant,PL_N10780162899,Brampton,1,1,12,osm_name,true,verified,0.0,1,OpenStreetMap,N10780162899,https://www.openstreetmap.org/node/10780162899,OpenStreetMap name cached during data preparation: Tikka Junction. No external company lookup occurs during runtime.
ORG_N10780168409,Great Canadian Bagel,restaurant,PL_N10780168409,Brampton,1,1,12,osm_name,true,verified,0.0,1,OpenStreetMap,N10780168409,https://www.openstreetmap.org/node/10780168409,OpenStreetMap name cached during data preparation: Great Canadian Bagel. No external company lookup occurs during runtime.
ORG_N10786415133,Liquidity Curve Systems Inc,office,PL_N10786415133,North York,2,1,80,osm_name,true,high,20.5,2,OpenStreetMap,N10786415133,https://www.openstreetmap.org/node/10786415133,OpenStreetMap name cached during data preparation: Liquidity Curve Systems Inc. No external company lookup occurs during runtime.
ORG_N10794699020,Seer Translation,office,PL_N10794699020,Old Toronto,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10794699020,https://www.openstreetmap.org/node/10794699020,OpenStreetMap name cached during data preparation: Seer Translation. No external company lookup occurs during runtime.
ORG_N10820389158,Aim2Walk,office,PL_N10820389158,Brampton,3,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10820389158,https://www.openstreetmap.org/node/10820389158,OpenStreetMap name cached during data preparation: Aim2Walk. No external company lookup occurs during runtime.
ORG_N10820405496,Crossroads C&I,office,PL_N10820405496,Brampton,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10820405496,https://www.openstreetmap.org/node/10820405496,OpenStreetMap name cached during data preparation: Crossroads C&I. No external company lookup occurs during runtime.
ORG_N10820481470,Food World Supermarket,supermarket,PL_N10820481470,Brampton,1,1,35,osm_name,true,verified,0.0,1,OpenStreetMap,N10820481470,https://www.openstreetmap.org/node/10820481470,OpenStreetMap name cached during data preparation: Food World Supermarket. No external company lookup occurs during runtime.
ORG_N10822992501,Dreamz Restaurant,restaurant,PL_N10822992501,Brampton,1,1,12,osm_name,true,verified,0.0,1,OpenStreetMap,N10822992501,https://www.openstreetmap.org/node/10822992501,OpenStreetMap name cached during data preparation: Dreamz Restaurant. No external company lookup occurs during runtime.
ORG_N10822992503,OM India Food Centre,supermarket,PL_N10822992503,Brampton,1,1,35,osm_name,true,verified,0.0,1,OpenStreetMap,N10822992503,https://www.openstreetmap.org/node/10822992503,OpenStreetMap name cached during data preparation: OM India Food Centre. No external company lookup occurs during runtime.
ORG_N10838172286,Royal LePage Terrequity Realty,office,PL_N10838172286,North York,2,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10838172286,https://www.openstreetmap.org/node/10838172286,OpenStreetMap name cached during data preparation: Royal LePage Terrequity Realty. No external company lookup occurs during runtime.
ORG_N10838177365,The Career Foundation,office,PL_N10838177365,North York,6,1,80,osm_nearby_name,true,high,23.1,2,OpenStreetMap,N10838177365,https://www.openstreetmap.org/node/10838177365,OpenStreetMap name cached during data preparation: The Career Foundation. No external company lookup occurs during runtime.
ORG_N10838194331,Eurodale Design + Build,office,PL_N10838194331,North York,5,1,80,osm_name,true,medium,82.5,4,OpenStreetMap,N10838194331,https://www.openstreetmap.org/node/10838194331,OpenStreetMap name cached during data preparation: Eurodale Design + Build. No external company lookup occurs during runtime.
ORG_N10844950436,Book City,retail,PL_N10844950436,Old Toronto,1,1,15,osm_name,true,verified,0.0,1,OpenStreetMap,N10844950436,https://www.openstreetmap.org/node/10844950436,OpenStreetMap name cached during data preparation: Book City. No external company lookup occurs during runtime.
ORG_N10863718695,The Burger's Priest,restaurant,PL_N10863718695,Old Toronto,1,1,12,osm_name,true,verified,0.0,1,OpenStreetMap,N10863718695,https://www.openstreetmap.org/node/10863718695,OpenStreetMap name cached during data preparation: The Burger's Priest. No external company lookup occurs during runtime.
ORG_N10875587021,ACED,office,PL_N10875587021,Old Toronto,1,1,80,osm_nearby_name,true,medium,90.6,1,OpenStreetMap,N10875587021,https://www.openstreetmap.org/node/10875587021,OpenStreetMap name cached during data preparation: ACED. No external company lookup occurs during runtime.
ORG_N10885250292,Kung Fu Tea,cafe,PL_N10885250292,Old Toronto,1,1,8,osm_name,true,verified,0.0,1,OpenStreetMap,N10885250292,https://www.openstreetmap.org/node/10885250292,OpenStreetMap name cached during data preparation: Kung Fu Tea. No external company lookup occurs during runtime.
ORG_N10887639767,Wong’s Aquarium,retail,PL_N10887639767,Old Toronto,1,1,15,osm_name,true,verified,0.0,1,OpenStreetMap,N10887639767,https://www.openstreetmap.org/node/10887639767,OpenStreetMap name cached during data preparation: Wong’s Aquarium. No external company lookup occurs during runtime.
ORG_N10892231389,Billyard Insurance Group,office,PL_N10892231389,Old Toronto,3,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10892231389,https://www.openstreetmap.org/node/10892231389,OpenStreetMap name cached during data preparation: Billyard Insurance Group. No external company lookup occurs during runtime.
ORG_N10893291925,McGowan Portch Insurance,office,PL_N10893291925,Old Toronto,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10893291925,https://www.openstreetmap.org/node/10893291925,OpenStreetMap name cached during data preparation: McGowan Portch Insurance. No external company lookup occurs during runtime.
ORG_N10893291928,V1 Vintage One Wines,office,PL_N10893291928,Old Toronto,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10893291928,https://www.openstreetmap.org/node/10893291928,OpenStreetMap name cached during data preparation: V1 Vintage One Wines. No external company lookup occurs during runtime.
ORG_N10905345296,Fit District,gym,PL_N10905345296,Old Toronto,1,1,20,osm_name,true,verified,0.0,1,OpenStreetMap,N10905345296,https://www.openstreetmap.org/node/10905345296,OpenStreetMap name cached during data preparation: Fit District. No external company lookup occurs during runtime.
ORG_N10906420648,Danam Food Importer,office,PL_N10906420648,Old Toronto,2,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10906420648,https://www.openstreetmap.org/node/10906420648,OpenStreetMap name cached during data preparation: Danam Food Importer. No external company lookup occurs during runtime.
ORG_N10909776060,Speedy,retail,PL_N10909776060,Brampton,1,1,15,osm_name,true,verified,0.0,1,OpenStreetMap,N10909776060,https://www.openstreetmap.org/node/10909776060,OpenStreetMap name cached during data preparation: Speedy. No external company lookup occurs during runtime.
ORG_N10920689889,Moss Park Espresso,cafe,PL_N10920689889,Old Toronto,1,1,8,osm_name,true,verified,0.0,1,OpenStreetMap,N10920689889,https://www.openstreetmap.org/node/10920689889,OpenStreetMap name cached during data preparation: Moss Park Espresso. No external company lookup occurs during runtime.
ORG_N10920735417,Liu Loqum Atelier,cafe,PL_N10920735417,Old Toronto,1,1,8,osm_name,true,verified,0.0,1,OpenStreetMap,N10920735417,https://www.openstreetmap.org/node/10920735417,OpenStreetMap name cached during data preparation: Liu Loqum Atelier. No external company lookup occurs during runtime.
ORG_N10925027992,Evana Cafe & Lounge,cafe,PL_N10925027992,Old Toronto,1,1,8,osm_name,true,verified,0.0,1,OpenStreetMap,N10925027992,https://www.openstreetmap.org/node/10925027992,OpenStreetMap name cached during data preparation: Evana Cafe & Lounge. No external company lookup occurs during runtime.
ORG_N10931847023,Getinge,office,PL_N10931847023,Brampton,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10931847023,https://www.openstreetmap.org/node/10931847023,OpenStreetMap name cached during data preparation: Getinge. No external company lookup occurs during runtime.
ORG_N10932171756,180Drinks,office,PL_N10932171756,Brampton,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10932171756,https://www.openstreetmap.org/node/10932171756,OpenStreetMap name cached during data preparation: 180Drinks. No external company lookup occurs during runtime.
ORG_N10932241501,JD Factors,office,PL_N10932241501,Brampton,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10932241501,https://www.openstreetmap.org/node/10932241501,OpenStreetMap name cached during data preparation: JD Factors. No external company lookup occurs during runtime.
ORG_N10932252155,Spy Depot Security,office,PL_N10932252155,Brampton,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10932252155,https://www.openstreetmap.org/node/10932252155,OpenStreetMap name cached during data preparation: Spy Depot Security. No external company lookup occurs during runtime.
ORG_N10937916050,Okta - Toronto,office,PL_N10937916050,Old Toronto,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10937916050,https://www.openstreetmap.org/node/10937916050,OpenStreetMap name cached during data preparation: Okta - Toronto. No external company lookup occurs during runtime.
ORG_N10937950338,Cool East Market,retail,PL_N10937950338,Old Toronto,1,1,15,osm_name,true,verified,0.0,1,OpenStreetMap,N10937950338,https://www.openstreetmap.org/node/10937950338,OpenStreetMap name cached during data preparation: Cool East Market. No external company lookup occurs during runtime.
ORG_N10938417221,Fit Factory Private Training,gym,PL_N10938417221,Old Toronto,1,1,20,osm_name,true,verified,0.0,1,OpenStreetMap,N10938417221,https://www.openstreetmap.org/node/10938417221,OpenStreetMap name cached during data preparation: Fit Factory Private Training. No external company lookup occurs during runtime.
ORG_N10951487095,LuxWorth Group,office,PL_N10951487095,Vaughan,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10951487095,https://www.openstreetmap.org/node/10951487095,OpenStreetMap name cached during data preparation: LuxWorth Group. No external company lookup occurs during runtime.
ORG_N10955169590,DB Schenker,office,PL_N10955169590,Brampton,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10955169590,https://www.openstreetmap.org/node/10955169590,OpenStreetMap name cached during data preparation: DB Schenker. No external company lookup occurs during runtime.
ORG_N10969405430,Automation Engineering Associates Ltd.,office,PL_N10969405430,Old Toronto,1,1,80,osm_nearby_name,true,high,7.5,1,OpenStreetMap,N10969405430,https://www.openstreetmap.org/node/10969405430,OpenStreetMap name cached during data preparation: Automation Engineering Associates Ltd.. No external company lookup occurs during runtime.
ORG_N10969431953,PTR Paving Inc.,office,PL_N10969431953,Old Toronto,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10969431953,https://www.openstreetmap.org/node/10969431953,OpenStreetMap name cached during data preparation: PTR Paving Inc.. No external company lookup occurs during runtime.
ORG_N10969431954,Canadian Dynamic Aircompressor,office,PL_N10969431954,Old Toronto,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10969431954,https://www.openstreetmap.org/node/10969431954,OpenStreetMap name cached during data preparation: Canadian Dynamic Aircompressor. No external company lookup occurs during runtime.
ORG_N10969431955,McRae Engineering Equipment Limited,office,PL_N10969431955,Old Toronto,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10969431955,https://www.openstreetmap.org/node/10969431955,OpenStreetMap name cached during data preparation: McRae Engineering Equipment Limited. No external company lookup occurs during runtime.
ORG_N10977865447,Monkey Sushi,restaurant,PL_N10977865447,Old Toronto,1,1,12,osm_name,true,verified,0.0,1,OpenStreetMap,N10977865447,https://www.openstreetmap.org/node/10977865447,OpenStreetMap name cached during data preparation: Monkey Sushi. No external company lookup occurs during runtime.
ORG_N10977886210,Anderson College,university,PL_N10977886210,Old Toronto,8,1,120,osm_name,true,verified,0.0,1,OpenStreetMap,N10977886210,https://www.openstreetmap.org/node/10977886210,OpenStreetMap name cached during data preparation: Anderson College. No external company lookup occurs during runtime.
ORG_N10982693405,LDA Technologies,office,PL_N10982693405,Brampton,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N10982693405,https://www.openstreetmap.org/node/10982693405,OpenStreetMap name cached during data preparation: LDA Technologies. No external company lookup occurs during runtime.
ORG_N10995355823,Corso Shoes,retail,PL_N10995355823,Old Toronto,1,1,15,osm_name,true,verified,0.0,1,OpenStreetMap,N10995355823,https://www.openstreetmap.org/node/10995355823,OpenStreetMap name cached during data preparation: Corso Shoes. No external company lookup occurs during runtime.
ORG_N11005867398,Queen & Dufferin Convenience,retail,PL_N11005867398,Old Toronto,1,1,15,osm_name,true,verified,0.0,1,OpenStreetMap,N11005867398,https://www.openstreetmap.org/node/11005867398,OpenStreetMap name cached during data preparation: Queen & Dufferin Convenience. No external company lookup occurs during runtime.
ORG_N11007364506,UCO Construction Group,office,PL_N11007364506,North York,2,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N11007364506,https://www.openstreetmap.org/node/11007364506,OpenStreetMap name cached during data preparation: UCO Construction Group. No external company lookup occurs during runtime.
ORG_N11037686277,Dominion Lending Centres,office,PL_N11037686277,North York,2,1,80,osm_nearby_name,true,high,4.3,1,OpenStreetMap,N11037686277,https://www.openstreetmap.org/node/11037686277,OpenStreetMap name cached during data preparation: Dominion Lending Centres. No external company lookup occurs during runtime.
ORG_N11037727634,Boutique Food + Health Club,restaurant,PL_N11037727634,North York,1,1,12,osm_name,true,verified,0.0,1,OpenStreetMap,N11037727634,https://www.openstreetmap.org/node/11037727634,OpenStreetMap name cached during data preparation: Boutique Food + Health Club. No external company lookup occurs during runtime.
ORG_N11050104382,Krispy Kreme,restaurant,PL_N11050104382,Old Toronto,1,1,12,osm_name,true,verified,0.0,1,OpenStreetMap,N11050104382,https://www.openstreetmap.org/node/11050104382,OpenStreetMap name cached during data preparation: Krispy Kreme. No external company lookup occurs during runtime.
ORG_N11050178297,Yogatree,gym,PL_N11050178297,Old Toronto,1,1,20,osm_name,true,verified,0.0,1,OpenStreetMap,N11050178297,https://www.openstreetmap.org/node/11050178297,OpenStreetMap name cached during data preparation: Yogatree. No external company lookup occurs during runtime.
ORG_N11050394043,Accommodated Testing Services,office,PL_N11050394043,Old Toronto,1,1,80,osm_name,true,verified,0.0,1,OpenStreetMap,N11050394043,https://www.openstreetmap.org/node/11050394043,OpenStreetMap name cached during data preparation: Accommodated Testing Services. No external company lookup occurs during runtime.
ORG_N11051841686,Qualcomm Canada,office,PL_N11051841686,Markham,3,1,80,osm_name,true,high,5.4,2,OpenStreetMap,N11051841686,https://www.openstreetmap.org/node/11051841686,OpenStreetMap name cached during data preparation: Qualcomm Canada. No external company lookup occurs during runtime.
