external_contact_id,person_id,relation_type,label,home_place_id,co_resident,availability_profile,description
EXT0000065,P00032,minor_child,样本外未成年子女1,PL_W702169121,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000066,P00032,minor_child,样本外未成年子女2,PL_W702169121,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000067,P00033,parent,样本外母亲,PL_W661078562,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000068,P00033,minor_child,样本外未成年子女1,PL_W659453270,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000069,P00034,partner,样本外伴侣,PL_W659208620,false,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000070,P00034,parent,样本外母亲,PL_W663868920,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000071,P00035,parent,样本外父亲,PL_W661796805,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000072,P00036,partner,样本外伴侣,PL_W744490604,false,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000073,P00036,parent,样本外母亲,PL_W659334235,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000074,P00037,partner,样本外伴侣,PL_W33541209,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000075,P00037,parent,样本外母亲,PL_W659829623,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000076,P00037,minor_child,样本外未成年子女1,PL_W33541209,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000077,P00039,parent,样本外父亲,PL_W745518647,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000078,P00040,partner,样本外伴侣,PL_W661822523,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000079,P00040,parent,样本外父亲,PL_W662538641,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000080,P00040,parent,样本外父亲,PL_W658022883,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000081,P00040,minor_child,样本外未成年子女1,PL_W661822523,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000082,P00041,partner,样本外伴侣,PL_W702167759,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000083,P00041,parent,样本外母亲,PL_W660839166,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000084,P00041,parent,样本外父亲,PL_W661263885,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000085,P00041,minor_child,样本外未成年子女1,PL_W702167759,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000086,P00041,minor_child,样本外未成年子女2,PL_W702167759,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000087,P00042,partner,样本外伴侣,PL_W662761121,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000088,P00042,parent,样本外母亲,PL_W804687007,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000089,P00042,parent,样本外父亲,PL_W663692478,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000090,P00042,minor_child,样本外未成年子女1,PL_W662761121,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000091,P00042,minor_child,样本外未成年子女2,PL_W662761121,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000092,P00043,parent,样本外母亲,PL_W662725978,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000093,P00044,parent,样本外母亲,PL_W661049860,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000094,P00045,parent,样本外母亲,PL_W662709900,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000095,P00046,parent,样本外母亲,PL_W795822038,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000096,P00046,parent,样本外父亲,PL_W662535001,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000097,P00046,minor_child,样本外未成年子女1,PL_W659340973,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000098,P00047,partner,样本外伴侣,PL_W705740396,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000099,P00047,parent,样本外父亲,PL_W662536036,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000100,P00047,parent,样本外父亲,PL_W662213372,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000101,P00047,minor_child,样本外未成年子女1,PL_W705740396,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000102,P00048,partner,样本外伴侣,PL_W661567046,false,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000103,P00048,parent,样本外父亲,PL_W661945157,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000104,P00048,parent,样本外父亲,PL_W662402659,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000105,P00048,minor_child,样本外未成年子女1,PL_W662775424,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000106,P00048,minor_child,样本外未成年子女2,PL_W662775424,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000107,P00049,parent,样本外母亲,PL_W750909275,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000108,P00050,parent,样本外母亲,PL_W658467572,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000109,P00050,parent,样本外父亲,PL_W1433397298,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000110,P00051,partner,样本外伴侣,PL_W1204945301,false,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000111,P00051,parent,样本外父亲,PL_W658217987,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000112,P00051,parent,样本外父亲,PL_W662522278,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000113,P00052,partner,样本外伴侣,PL_W36791496,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000114,P00052,parent,样本外父亲,PL_W661029074,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000115,P00052,minor_child,样本外未成年子女1,PL_W36791496,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000116,P00052,minor_child,样本外未成年子女2,PL_W36791496,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000117,P00053,partner,样本外伴侣,PL_W1319679206,false,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000118,P00053,parent,样本外父亲,PL_W659307175,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000119,P00055,partner,样本外伴侣,PL_W704292283,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000120,P00055,parent,样本外父亲,PL_W659446493,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000121,P00056,partner,样本外伴侣,PL_W660816929,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000122,P00057,parent,样本外母亲,PL_W32118884,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000123,P00059,parent,样本外父亲,PL_W662965958,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000124,P00059,parent,样本外父亲,PL_W1275522400,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000125,P00060,parent,样本外母亲,PL_W660634154,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000126,P00061,parent,样本外母亲,PL_W658010887,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000127,P00061,minor_child,样本外未成年子女1,PL_W661777910,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000128,P00061,minor_child,样本外未成年子女2,PL_W661777910,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000129,P00062,parent,样本外母亲,PL_W662150867,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000130,P00062,parent,样本外父亲,PL_W660339701,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000131,P00063,partner,样本外伴侣,PL_W659447274,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000132,P00063,parent,样本外母亲,PL_W381144417,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000133,P00064,partner,样本外伴侣,PL_W702141532,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000134,P00064,parent,样本外母亲,PL_W663565464,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000135,P00064,parent,样本外父亲,PL_W673812163,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000136,P00064,minor_child,样本外未成年子女1,PL_W702141532,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000137,P00064,minor_child,样本外未成年子女2,PL_W702141532,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000138,P00065,parent,样本外父亲,PL_W657721706,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000139,P00065,minor_child,样本外未成年子女1,PL_W36888109,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000140,P00066,partner,样本外伴侣,PL_W132148485,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000141,P00066,parent,样本外母亲,PL_W659322360,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000142,P00066,minor_child,样本外未成年子女1,PL_W132148485,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000143,P00067,parent,样本外父亲,PL_W658233820,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000144,P00067,parent,样本外父亲,PL_W1253519384,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000145,P00068,partner,样本外伴侣,PL_W702160078,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000146,P00068,minor_child,样本外未成年子女1,PL_W702160078,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000147,P00068,minor_child,样本外未成年子女2,PL_W702160078,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000148,P00069,partner,样本外伴侣,PL_W656562251,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000149,P00069,minor_child,样本外未成年子女1,PL_W656562251,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000150,P00070,parent,样本外父亲,PL_W662775840,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000151,P00070,parent,样本外父亲,PL_W117147556,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000152,P00070,minor_child,样本外未成年子女1,PL_W31617619,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000153,P00070,minor_child,样本外未成年子女2,PL_W31617619,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000154,P00071,partner,样本外伴侣,PL_W659447615,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000155,P00071,parent,样本外母亲,PL_W659422228,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000156,P00071,parent,样本外父亲,PL_W661539164,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000157,P00072,partner,样本外伴侣,PL_W702160078,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000158,P00073,partner,样本外伴侣,PL_W658200189,false,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000159,P00073,parent,样本外母亲,PL_W658234055,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000160,P00073,parent,样本外父亲,PL_W804271853,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000161,P00073,minor_child,样本外未成年子女1,PL_W170052631,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000162,P00074,partner,样本外伴侣,PL_W659600346,false,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000163,P00074,parent,样本外父亲,PL_W661263775,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000164,P00075,partner,样本外伴侣,PL_W58936386,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000165,P00075,parent,样本外父亲,PL_W320909500,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000166,P00075,minor_child,样本外未成年子女1,PL_W58936386,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000167,P00075,minor_child,样本外未成年子女2,PL_W58936386,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000168,P00076,partner,样本外伴侣,PL_W705132821,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000169,P00076,parent,样本外父亲,PL_W661929800,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000170,P00076,parent,样本外父亲,PL_W1258788170,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000171,P00076,minor_child,样本外未成年子女1,PL_W705132821,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000172,P00077,parent,样本外父亲,PL_W657696667,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000173,P00077,parent,样本外父亲,PL_W661945208,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000174,P00077,minor_child,样本外未成年子女1,PL_W573332603,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000175,P00077,minor_child,样本外未成年子女2,PL_W573332603,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000176,P00078,parent,样本外母亲,PL_W660601576,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000177,P00079,partner,样本外伴侣,PL_W31811119,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000178,P00079,parent,样本外父亲,PL_W1408887365,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000179,P00079,minor_child,样本外未成年子女1,PL_W31811119,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000180,P00080,partner,样本外伴侣,PL_W705844122,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000181,P00080,parent,样本外母亲,PL_W657721453,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000182,P00080,minor_child,样本外未成年子女1,PL_W705844122,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000183,P00081,partner,样本外伴侣,PL_W662762622,false,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000184,P00081,parent,样本外父亲,PL_W661794052,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000185,P00081,minor_child,样本外未成年子女1,PL_W661275640,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000186,P00082,partner,样本外伴侣,PL_W662768121,false,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000187,P00082,parent,样本外父亲,PL_W663826649,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000188,P00083,parent,样本外母亲,PL_W1146856665,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000189,P00084,partner,样本外伴侣,PL_W702167759,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000190,P00084,parent,样本外母亲,PL_W659577786,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000191,P00084,minor_child,样本外未成年子女1,PL_W702167759,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000192,P00085,partner,样本外伴侣,PL_W660357598,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000193,P00085,parent,样本外父亲,PL_W804477930,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000194,P00085,minor_child,样本外未成年子女1,PL_W660357598,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000195,P00086,parent,样本外母亲,PL_W660838953,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000196,P00087,partner,样本外伴侣,PL_W705507606,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000197,P00087,parent,样本外母亲,PL_W1395074982,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000198,P00087,parent,样本外父亲,PL_W659441015,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000199,P00087,minor_child,样本外未成年子女1,PL_W705507606,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000200,P00088,partner,样本外伴侣,PL_W659454661,true,evenings_and_weekends,此伴侣未进入一万人样本；只用于约会和家庭活动，不进行实时位置追踪。
EXT0000201,P00088,parent,样本外母亲,PL_W660079012,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
EXT0000202,P00088,minor_child,样本外未成年子女1,PL_W659454661,true,dependent,未成年子女不属于成人模拟样本，与该人物共同居住。
EXT0000203,P00089,parent,样本外父亲,PL_W659093749,false,daytime_and_evenings,父母未进入一万人样本，并且与成年子女分开居住。
