person_id,sociability,routine_preference,spontaneity,travel_tolerance,nightlife_preference,activity_budget,family_orientation,warmth,directness,patience,communication_style,personality_summary
P00042,0.94,0.48,0.60,0.64,0.84,0.21,0.89,0.32,0.28,0.77,沉稳耐心,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，重视家庭联系，喜欢晚间外出，处理分歧时较有耐心。
P00043,0.34,0.44,0.59,0.40,0.56,0.44,0.21,0.62,0.78,0.39,坦率热情,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，生活取向相对均衡。
P00044,0.59,0.66,0.35,0.73,0.40,0.18,0.33,0.23,0.57,0.55,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式克制务实，生活取向相对均衡。
P00045,0.26,0.72,0.19,0.47,0.65,0.25,0.48,0.37,0.58,0.62,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00046,0.50,0.54,0.50,0.50,0.29,0.37,0.53,0.37,0.20,0.65,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00047,0.66,0.90,0.28,0.37,0.47,0.74,0.86,0.30,0.67,0.46,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00048,0.36,0.70,0.20,0.73,0.21,0.47,0.64,0.77,0.49,0.74,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式温和体贴，处理分歧时较有耐心。
P00049,0.60,0.46,0.51,0.58,0.59,0.77,0.20,0.44,0.80,0.66,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P00050,0.11,0.68,0.52,0.21,0.23,0.68,0.58,0.42,0.36,0.62,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P00051,0.28,0.63,0.40,0.30,0.36,0.45,0.37,0.10,0.58,0.59,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P00052,0.76,0.21,0.69,0.71,0.74,0.62,0.54,0.25,0.21,0.36,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对较远的出行接受度较高。交流方式健谈外向，喜欢晚间外出。
P00053,0.42,0.81,0.42,0.47,0.39,0.50,0.60,0.26,0.15,0.66,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00054,0.28,0.40,0.55,0.51,0.64,0.52,0.82,0.25,0.24,0.19,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00055,0.68,0.67,0.29,0.80,0.57,0.61,0.28,0.64,0.36,0.54,克制务实,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式克制务实，生活取向相对均衡。
P00056,0.56,0.61,0.50,0.64,0.76,0.47,0.63,0.13,0.89,0.60,直接简洁,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，喜欢晚间外出。
P00057,0.05,0.57,0.51,0.30,0.46,0.47,0.45,0.39,0.68,0.60,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P00058,0.59,0.76,0.20,0.36,0.59,0.40,0.09,0.74,0.17,0.68,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00059,0.58,0.94,0.18,0.76,0.47,0.19,0.39,0.44,0.53,0.47,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式克制务实，生活取向相对均衡。
P00060,0.14,0.56,0.45,0.56,0.53,0.51,0.62,0.19,0.31,0.78,沉稳耐心,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P00061,0.42,0.54,0.45,0.53,0.47,0.41,0.71,0.49,0.24,0.30,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00062,0.44,0.45,0.62,0.62,0.56,0.26,0.65,0.70,0.71,0.33,坦率热情,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，生活取向相对均衡。
P00063,0.62,0.78,0.50,0.52,0.47,0.55,0.24,0.85,0.35,0.55,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00064,0.72,0.45,0.46,0.53,0.37,0.52,0.59,0.29,0.37,0.58,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P00065,0.84,0.66,0.50,0.84,0.83,0.66,0.85,0.64,0.58,0.55,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式健谈外向，重视家庭联系，喜欢晚间外出。
P00066,0.64,0.62,0.34,0.65,0.28,0.77,0.60,0.42,0.58,0.74,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P00067,0.61,0.25,0.70,0.46,0.53,0.52,0.37,0.90,0.30,0.69,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00068,0.64,0.80,0.21,0.81,0.54,0.52,0.63,0.41,0.14,0.54,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式克制务实，生活取向相对均衡。
P00069,0.79,0.48,0.50,0.62,0.57,0.59,0.83,0.68,0.24,0.37,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，重视家庭联系。
P00070,0.49,0.25,0.67,0.40,0.37,0.66,0.57,0.24,0.39,0.43,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00071,0.62,0.27,0.48,0.68,0.41,0.27,0.33,0.18,0.40,0.66,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式克制务实，生活取向相对均衡。
P00072,0.41,0.50,0.60,0.50,0.35,0.25,0.40,0.91,0.68,0.05,坦率热情,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，生活取向相对均衡。
P00073,0.26,0.33,0.76,0.34,0.38,0.67,0.76,0.37,0.72,0.54,直接简洁,性格偏安静，更喜欢小范围交往和熟悉的人。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式直接简洁，重视家庭联系。
P00074,0.49,0.33,0.55,0.63,0.37,0.55,0.42,0.59,0.64,0.74,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P00075,0.57,0.79,0.45,0.44,0.38,0.65,0.85,0.34,0.38,0.23,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00076,0.22,0.97,0.20,0.21,0.25,0.07,0.96,0.50,0.13,0.54,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式克制务实，重视家庭联系。
P00077,0.41,0.37,0.48,0.72,0.43,0.84,0.91,0.54,0.56,0.81,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P00078,0.81,0.62,0.37,0.78,0.75,0.11,0.57,0.43,0.19,0.54,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式健谈外向，喜欢晚间外出。
P00079,0.22,0.52,0.53,0.37,0.47,0.51,0.82,0.36,0.80,0.68,直接简洁,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，重视家庭联系。
P00080,0.19,0.44,0.49,0.50,0.28,0.29,0.65,0.34,0.24,0.55,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00081,0.70,0.52,0.57,0.43,0.57,0.65,0.67,0.76,0.32,0.56,温和体贴,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00082,0.64,0.80,0.36,0.53,0.65,0.32,0.51,0.40,0.52,0.55,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00083,0.23,0.65,0.46,0.40,0.23,0.49,0.28,0.58,0.39,0.72,沉稳耐心,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P00084,0.41,0.72,0.22,0.60,0.72,0.46,0.77,0.56,0.36,0.62,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系，喜欢晚间外出。
P00085,0.79,0.67,0.33,0.50,0.38,0.58,0.79,0.51,0.46,0.34,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，重视家庭联系。
P00086,0.28,0.02,0.84,0.56,0.49,0.66,0.75,0.42,0.75,0.32,直接简洁,性格偏安静，更喜欢小范围交往和熟悉的人。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式直接简洁，重视家庭联系。
P00087,0.76,0.45,0.50,0.69,0.57,0.58,0.54,0.53,0.53,0.77,沉稳耐心,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式沉稳耐心，处理分歧时较有耐心。
P00088,0.44,0.05,0.66,0.36,0.34,0.36,0.98,0.44,0.48,0.72,沉稳耐心,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P00089,0.29,0.30,0.75,0.55,0.46,0.70,0.56,0.46,0.79,0.73,直接简洁,性格偏安静，更喜欢小范围交往和熟悉的人。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式直接简洁，处理分歧时较有耐心。
P00090,0.87,0.02,0.84,0.79,0.47,0.30,0.74,0.68,0.26,0.16,健谈外向,性格较为外向，通常愿意主动联系熟人并参加共同活动。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对较远的出行接受度较高。交流方式健谈外向，重视家庭联系。
P00091,0.81,0.29,0.61,0.77,0.66,0.81,0.63,0.61,0.68,0.81,坦率热情,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式坦率热情，处理分歧时较有耐心。
P00092,0.45,0.02,0.84,0.40,0.68,0.25,0.12,0.42,0.38,0.43,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，喜欢晚间外出。
P00093,0.63,0.62,0.55,0.57,0.72,0.44,0.58,0.59,0.22,0.47,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，喜欢晚间外出。
P00094,0.52,0.54,0.40,0.60,0.76,0.44,0.88,0.71,0.48,0.74,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系，喜欢晚间外出，处理分歧时较有耐心。
P00095,0.54,0.78,0.25,0.42,0.33,0.75,0.80,0.44,0.49,0.54,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00096,0.41,0.65,0.42,0.72,0.71,0.51,0.51,0.76,0.15,0.20,温和体贴,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式温和体贴，喜欢晚间外出。
P00097,0.32,0.53,0.33,0.52,0.32,0.25,0.29,0.69,0.77,0.70,坦率热情,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，生活取向相对均衡。
P00098,0.33,0.38,0.37,0.38,0.16,0.76,0.69,0.58,0.84,0.36,坦率热情,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，重视家庭联系。
P00099,0.32,0.12,0.73,0.55,0.38,0.73,0.57,0.57,0.43,0.31,克制务实,性格偏安静，更喜欢小范围交往和熟悉的人。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00100,0.45,0.53,0.56,0.58,0.26,0.08,0.41,0.34,0.55,0.42,克制务实,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
