person_id,place_role,place_id
P00090,HOME,PL_W705010177
P00090,WORK,PL_N12456228544
P00090,CHILD_SCHOOL,PL_W42525407
P00091,HOME,PL_W659451700
P00091,UNIVERSITY,PL_N4507572289
P00092,HOME,PL_W170055114
P00092,WORK,PL_N9810859614
P00093,HOME,PL_W662535958
P00093,WORK,PL_N7574259926
P00093,CHILD_SCHOOL,PL_W61955065
P00094,HOME,PL_W704232378
P00094,UNIVERSITY,PL_N9633703338
P00095,HOME,PL_W661650658
P00095,WORK,PL_W59146421
P00095,CHILD_SCHOOL,PL_W688267158
P00096,HOME,PL_W31757867
P00096,WORK,PL_W796687023
P00097,HOME,PL_W661469587
P00097,WORK,PL_N276474692
P00098,HOME,PL_W31619121
P00098,WORK,PL_N4285491274
P00098,CHILD_SCHOOL,PL_W35836168
P00099,HOME,PL_W43811014
P00099,UNIVERSITY,PL_W505921693
P00100,HOME,PL_W36331124
P00100,WORK,PL_W670293204
P00100,CHILD_SCHOOL,PL_W32121754
P00101,HOME,PL_W661824658
P00101,WORK,PL_W659588028
P00101,CHILD_SCHOOL,PL_W760840673
P00102,HOME,PL_W767378211
P00102,WORK,PL_N1458108002
P00102,CHILD_SCHOOL,PL_W56127102
P00103,HOME,PL_W32122685
P00103,WORK,PL_N7797311506
P00104,HOME,PL_W662775013
P00104,WORK,PL_W402197619
P00104,CHILD_SCHOOL,PL_W703414558
P00105,HOME,PL_W661470462
P00105,WORK,PL_W32596553
P00105,CHILD_SCHOOL,PL_W224695919
P00106,HOME,PL_W662142684
P00106,WORK,PL_W1037818938
P00107,HOME,PL_W705132821
P00107,WORK,PL_N686709932
P00107,CHILD_SCHOOL,PL_W224817368
P00108,HOME,PL_W659445963
P00108,UNIVERSITY,PL_W23447514
P00109,HOME,PL_W660637121
P00109,WORK,PL_N13885908649
P00110,HOME,PL_W704993422
P00110,WORK,PL_N13141019891
P00111,HOME,PL_W705132823
P00111,WORK,PL_W661078033
P00111,CHILD_SCHOOL,PL_W43613879
P00112,HOME,PL_W663310449
P00112,WORK,PL_N7797305033
P00112,CHILD_SCHOOL,PL_N7108106148
P00113,HOME,PL_W705563028
P00113,WORK,PL_W266875413
P00114,HOME,PL_W661050635
P00114,WORK,PL_N11037727634
P00115,HOME,PL_W705121024
P00115,WORK,PL_W363351235
P00115,CHILD_SCHOOL,PL_W50977417
P00116,HOME,PL_W663310843
P00116,WORK,PL_W677770991
P00117,HOME,PL_W660636992
P00117,WORK,PL_W660636992
P00118,HOME,PL_W706078563
P00118,WORK,PL_W953878382
P00119,HOME,PL_W659549382
P00119,WORK,PL_W61429979
P00119,CHILD_SCHOOL,PL_W224672049
P00120,HOME,PL_W660819593
P00120,WORK,PL_W43809844
P00120,CHILD_SCHOOL,PL_W36544304
P00121,HOME,PL_W660637750
P00121,WORK,PL_N6542570343
P00121,CHILD_SCHOOL,PL_W26949764
P00122,HOME,PL_W1204542930
P00122,WORK,PL_N6538304663
P00123,HOME,PL_W687185986
P00123,UNIVERSITY,PL_N10977886210
P00124,HOME,PL_W660568310
P00124,WORK,PL_W58361992
P00124,CHILD_SCHOOL,PL_W35836503
P00125,HOME,PL_W662786700
P00125,WORK,PL_W66983851
P00125,CHILD_SCHOOL,PL_W225582647
P00126,HOME,PL_W57079616
P00126,WORK,PL_W400575633
P00127,HOME,PL_W661207167
P00127,WORK,PL_N3672015342
P00128,HOME,PL_W313908676
P00128,WORK,PL_W313908676
P00129,HOME,PL_W660586910
P00129,WORK,PL_W43417475
P00130,HOME,PL_W41405387
P00130,WORK,PL_N6551695028
P00131,HOME,PL_W31811115
P00131,WORK,PL_N13932260738
P00131,CHILD_SCHOOL,PL_W35836041
P00132,HOME,PL_W661050725
P00132,UNIVERSITY,PL_W33013888
P00133,HOME,PL_W34229573
P00133,WORK,PL_W66979920
P00133,CHILD_SCHOOL,PL_W171056869
P00134,HOME,PL_W704232378
P00134,WORK,PL_W421084023
P00134,CHILD_SCHOOL,PL_W25366282
P00135,HOME,PL_W31811114
P00135,WORK,PL_W904554236
P00136,HOME,PL_W661824504
P00136,WORK,PL_W32507037
P00137,HOME,PL_W32455671
P00137,WORK,PL_W661951775
P00138,HOME,PL_W705519668
P00138,WORK,PL_W291464330
P00139,HOME,PL_W661637269
P00139,WORK,PL_W176968753
P00140,HOME,PL_W31451196
P00140,WORK,PL_W32624097
P00140,CHILD_SCHOOL,PL_N534020733
P00141,HOME,PL_W705132830
P00141,WORK,PL_W23201612
P00142,HOME,PL_W662449423
P00142,WORK,PL_N13609461843
P00142,CHILD_SCHOOL,PL_W29113970
P00143,HOME,PL_W661324861
P00143,WORK,PL_W661770747
P00143,CHILD_SCHOOL,PL_W36332059
P00144,HOME,PL_W705011704
P00144,WORK,PL_W678933220
P00145,HOME,PL_W661470148
P00145,WORK,PL_W662763557
P00145,CHILD_SCHOOL,PL_W33396855
P00146,HOME,PL_W1275522400
P00146,WORK,PL_W70510674
P00147,HOME,PL_W705844122
P00147,WORK,PL_W804386850
P00147,CHILD_SCHOOL,PL_W220920995
P00148,HOME,PL_W661076721
P00148,WORK,PL_W661076721
P00148,CHILD_SCHOOL,PL_W36952003
P00149,HOME,PL_W659340952
P00149,WORK,PL_W288106846
P00149,CHILD_SCHOOL,PL_W56868358
P00150,HOME,PL_W33564022
P00150,UNIVERSITY,PL_N9550175417
P00151,HOME,PL_W704946500
P00151,WORK,PL_W103619594
P00151,CHILD_SCHOOL,PL_W41841601
P00152,HOME,PL_W31373435
P00152,WORK,PL_N8639235068
P00153,HOME,PL_W863282987
P00153,WORK,PL_W69706533
P00153,CHILD_SCHOOL,PL_W143657503
P00154,HOME,PL_W943428729
P00154,WORK,PL_W34614474
P00154,CHILD_SCHOOL,PL_W37680872
P00155,HOME,PL_W661205268
P00155,WORK,PL_N968464560
P00156,HOME,PL_W660347447
P00156,WORK,PL_N12995038539
P00156,CHILD_SCHOOL,PL_W220920995
P00157,HOME,PL_W661919786
P00157,WORK,PL_N2294991326
P00158,HOME,PL_W41405412
P00158,WORK,PL_W674557300
P00159,HOME,PL_W31617605
P00159,WORK,PL_W25636424
P00159,CHILD_SCHOOL,PL_W32819968
P00160,HOME,PL_W661207269
P00160,WORK,PL_N6334374243
P00161,HOME,PL_W704634888
P00161,WORK,PL_W33561679
P00162,HOME,PL_W943428733
P00162,WORK,PL_W659422197
P00162,CHILD_SCHOOL,PL_W179214961
P00163,HOME,PL_W662389548
P00163,WORK,PL_W58936360
P00164,HOME,PL_W704229389
P00164,WORK,PL_W55647680
P00165,HOME,PL_W31756307
P00165,WORK,PL_N11800701980
P00166,HOME,PL_W705132829
P00166,WORK,PL_W703776808
P00167,HOME,PL_W978051260
P00167,WORK,PL_W1099743736
P00168,HOME,PL_W662094672
P00168,WORK,PL_W661292604
P00169,HOME,PL_W36888102
P00169,WORK,PL_W704634881
P00170,HOME,PL_W31451095
P00170,WORK,PL_W35491449
P00171,HOME,PL_W659341085
P00171,WORK,PL_N3941602088
P00172,HOME,PL_W662095080
P00172,WORK,PL_W34749730
P00172,CHILD_SCHOOL,PL_W42149102
P00173,HOME,PL_W33036598
P00173,WORK,PL_W67139134
P00174,HOME,PL_W705649172
P00174,WORK,PL_W180167448
P00175,HOME,PL_W170055112
P00175,WORK,PL_W25491342
P00176,HOME,PL_W31811115
P00176,WORK,PL_N13608377256
P00176,CHILD_SCHOOL,PL_W122480554
P00177,HOME,PL_W704196071
P00177,WORK,PL_W664732076
P00178,HOME,PL_W659548975
P00178,WORK,PL_W659548975
P00178,CHILD_SCHOOL,PL_N7766322681
P00179,HOME,PL_W114706279
P00179,WORK,PL_W115222390
P00179,CHILD_SCHOOL,PL_W26949764
P00180,HOME,PL_W660866973
P00180,WORK,PL_W661049738
P00180,CHILD_SCHOOL,PL_W36747098
P00181,HOME,PL_W31617619
P00181,WORK,PL_N13976324239
P00181,CHILD_SCHOOL,PL_W220920995
P00182,HOME,PL_W661565849
P00182,WORK,PL_W661077890
P00182,CHILD_SCHOOL,PL_W224809461
P00183,HOME,PL_W662389034
P00183,WORK,PL_N13944161395
P00183,CHILD_SCHOOL,PL_W28273222
P00184,HOME,PL_W661565041
P00184,WORK,PL_W141284992
P00184,CHILD_SCHOOL,PL_W195969794
P00185,HOME,PL_W704993419
P00185,WORK,PL_N6341947267
P00186,HOME,PL_W36791495
P00186,WORK,PL_N6370888056
P00187,HOME,PL_W659446691
P00187,WORK,PL_W660624564
P00187,CHILD_SCHOOL,PL_W87327545
P00188,HOME,PL_W47870412
P00188,WORK,PL_W796670679
P00188,CHILD_SCHOOL,PL_W35800152
P00189,HOME,PL_W1275524431
P00189,WORK,PL_W180193897
P00189,CHILD_SCHOOL,PL_N4213745389
P00190,HOME,PL_W660212411
P00190,WORK,PL_W150506087
P00190,CHILD_SCHOOL,PL_W36951033
P00191,HOME,PL_W1163968780
P00191,WORK,PL_W661263197
P00191,CHILD_SCHOOL,PL_W705011693
P00192,HOME,PL_W661635742
P00192,WORK,PL_W671876643
P00192,CHILD_SCHOOL,PL_N2611249739
P00193,HOME,PL_W705507607
P00193,WORK,PL_W60516143
P00193,CHILD_SCHOOL,PL_W35798652
P00194,HOME,PL_W661323921
P00194,WORK,PL_W703251903
P00194,CHILD_SCHOOL,PL_W274163820
P00195,HOME,PL_W659546799
P00195,UNIVERSITY,PL_N7797331451
P00196,HOME,PL_W659245285
P00196,WORK,PL_N6552111897
P00196,CHILD_SCHOOL,PL_W226096987
P00197,HOME,PL_W31451019
P00197,WORK,PL_W56724000
P00197,CHILD_SCHOOL,PL_W33396855
P00198,HOME,PL_W1271200575
P00198,UNIVERSITY,PL_W1504222043
P00199,HOME,PL_W659730241
P00199,WORK,PL_N6491618253
P00200,HOME,PL_W662176518
P00200,WORK,PL_N12919738554
P00200,CHILD_SCHOOL,PL_W225582647
P00201,HOME,PL_W705010179
P00201,WORK,PL_W25650677
P00201,CHILD_SCHOOL,PL_W35798787
P00202,HOME,PL_W659243961
P00202,WORK,PL_W659243961
P00203,HOME,PL_W661049890
P00203,WORK,PL_N13157166833
P00204,HOME,PL_W662175308
P00204,WORK,PL_N3811486813
P00205,HOME,PL_W705740400
P00205,WORK,PL_W659138583
P00206,HOME,PL_W660602917
P00206,WORK,PL_W27767624
P00207,HOME,PL_W1125477356
P00207,WORK,PL_N12821333240
P00207,CHILD_SCHOOL,PL_W161236234
P00208,HOME,PL_W659453299
P00208,WORK,PL_W676111885
P00209,HOME,PL_W31757290
P00209,WORK,PL_W170244790
P00209,CHILD_SCHOOL,PL_W704597788
P00210,HOME,PL_W229483866
P00210,WORK,PL_N12596689453
P00210,CHILD_SCHOOL,PL_W36746607
P00211,HOME,PL_W703722939
P00211,WORK,PL_W662098193
P00212,HOME,PL_W659244734
P00212,WORK,PL_N6334228526
P00212,CHILD_SCHOOL,PL_W50977417
P00213,HOME,PL_W30966660
P00213,WORK,PL_N4327300545
P00213,CHILD_SCHOOL,PL_W274163820
P00214,HOME,PL_W770873612
P00214,WORK,PL_N3326486318
P00215,HOME,PL_W661206391
P00215,WORK,PL_N13281966301
P00216,HOME,PL_W659733463
P00216,WORK,PL_W660807107
P00217,HOME,PL_W660079287
P00217,WORK,PL_W58431314
P00218,HOME,PL_W661636189
P00218,WORK,PL_N12326900682
P00218,CHILD_SCHOOL,PL_N2336690053
P00219,HOME,PL_W663309453
P00219,WORK,PL_N2711784528
P00220,HOME,PL_W31756293
P00220,WORK,PL_W659459829
P00221,HOME,PL_W659246479
P00221,WORK,PL_W34582257
P00221,CHILD_SCHOOL,PL_W122301356
P00222,HOME,PL_W660838584
P00222,WORK,PL_N6543841089
P00223,HOME,PL_W31811208
P00223,WORK,PL_W659581419
P00224,HOME,PL_W702169782
P00224,WORK,PL_W702169782
P00225,HOME,PL_W702557442
P00225,WORK,PL_N6306326501
P00225,CHILD_SCHOOL,PL_W29234699
P00226,HOME,PL_W1204542990
P00226,WORK,PL_W805392730
P00227,HOME,PL_W660867251
P00227,WORK,PL_N10221864570
P00227,CHILD_SCHOOL,PL_W35836139
P00228,HOME,PL_W660585025
P00228,WORK,PL_W34554802
P00229,HOME,PL_W41405394
P00229,WORK,PL_N6546233079
P00229,CHILD_SCHOOL,PL_W57052280
P00230,HOME,PL_W661777443
P00230,WORK,PL_N6535127740
P00231,HOME,PL_W705507609
P00231,UNIVERSITY,PL_N12227880714
P00232,HOME,PL_W31757869
P00232,WORK,PL_W705170964
P00232,CHILD_SCHOOL,PL_N13705682293
P00233,HOME,PL_W702587016
P00233,WORK,PL_W62058576
P00233,CHILD_SCHOOL,PL_W703414557
P00234,HOME,PL_W31617620
P00234,WORK,PL_W1091080136
P00235,HOME,PL_W32667517
P00235,WORK,PL_W34484468
P00235,CHILD_SCHOOL,PL_W224672049
P00236,HOME,PL_W34229572
P00236,WORK,PL_W599480360
P00236,CHILD_SCHOOL,PL_W50977417
P00237,HOME,PL_W661076307
P00237,WORK,PL_W195846567
P00237,CHILD_SCHOOL,PL_W660585356
P00238,HOME,PL_W662175763
P00238,WORK,PL_N13719653017
P00238,CHILD_SCHOOL,PL_W34777564
P00239,HOME,PL_W660838180
P00239,WORK,PL_W231773826
P00240,HOME,PL_W661330953
P00240,WORK,PL_N13783178348
P00241,HOME,PL_W660838961
P00241,WORK,PL_N8893534012
P00241,CHILD_SCHOOL,PL_W33541228
P00242,HOME,PL_W661065580
P00242,UNIVERSITY,PL_N2681580824
P00243,HOME,PL_W704995223
P00243,WORK,PL_N6481876648
P00244,HOME,PL_W195460114
P00244,UNIVERSITY,PL_W61759776
P00245,HOME,PL_W31617608
P00245,WORK,PL_W804394054
P00245,CHILD_SCHOOL,PL_W36368280
P00246,HOME,PL_W705121017
P00246,WORK,PL_W200089381
P00247,HOME,PL_W704229392
P00247,WORK,PL_W89185218
P00248,HOME,PL_W42472531
P00248,WORK,PL_W662442429
P00248,CHILD_SCHOOL,PL_W224671171
P00249,HOME,PL_W659731528
P00249,WORK,PL_W314664870
P00250,HOME,PL_W663310075
P00250,WORK,PL_W420792789
P00250,CHILD_SCHOOL,PL_W32819968
P00251,HOME,PL_W662174820
P00251,WORK,PL_N6415420668
P00251,CHILD_SCHOOL,PL_W288675892
P00252,HOME,PL_W31757818
P00252,WORK,PL_W660807044
P00252,CHILD_SCHOOL,PL_N7108106148
P00253,HOME,PL_W660819593
P00253,WORK,PL_W661314422
P00253,CHILD_SCHOOL,PL_W33541185
P00254,HOME,PL_W661075358
P00254,WORK,PL_N5721034443
P00255,HOME,PL_W659242659
P00255,WORK,PL_W1350503254
P00256,HOME,PL_W660075325
P00256,WORK,PL_W660075325
P00257,HOME,PL_W33036595
P00257,WORK,PL_W58325196
P00257,CHILD_SCHOOL,PL_W34617360
P00258,HOME,PL_W36921200
P00258,WORK,PL_N2405832059
P00259,HOME,PL_W703923701
P00259,WORK,PL_W61759775
P00259,CHILD_SCHOOL,PL_W822689780
P00260,HOME,PL_W660603607
P00260,WORK,PL_W659422197
P00260,CHILD_SCHOOL,PL_W36544304
P00261,HOME,PL_W661822902
P00261,WORK,PL_N14100912622
P00262,HOME,PL_W659729319
P00262,WORK,PL_N8776885249
P00263,HOME,PL_W42472528
P00263,WORK,PL_N6426770908
P00264,HOME,PL_W114706282
P00264,WORK,PL_W35155100
P00265,HOME,PL_W31754697
P00265,WORK,PL_N5249129253
P00266,HOME,PL_W1202408293
P00266,WORK,PL_W66979680
P00267,HOME,PL_W705529515
P00267,WORK,PL_W33189807
P00268,HOME,PL_W662177005
P00268,WORK,PL_N9627769801
P00269,HOME,PL_W661637191
P00269,WORK,PL_N4640688023
P00270,HOME,PL_W427224029
P00270,WORK,PL_N1172146388
P00271,HOME,PL_W705121017
P00271,WORK,PL_W663871232
P00271,CHILD_SCHOOL,PL_W34228911
P00272,HOME,PL_W43806328
P00272,WORK,PL_N10969431953
P00272,CHILD_SCHOOL,PL_W180044576
P00273,HOME,PL_W55547147
P00273,UNIVERSITY,PL_W1268267050
P00274,HOME,PL_W34777543
P00274,WORK,PL_W205716722
P00274,CHILD_SCHOOL,PL_W57047252
P00275,HOME,PL_W659448976
P00275,WORK,PL_N7559857500
P00275,CHILD_SCHOOL,PL_W688267162
P00276,HOME,PL_W143654372
P00276,WORK,PL_W661919736
P00276,CHILD_SCHOOL,PL_N5444147981
P00277,HOME,PL_W660212662
P00277,WORK,PL_W658961508
P00277,CHILD_SCHOOL,PL_W34769382
P00278,HOME,PL_W659334728
P00278,WORK,PL_W34551490
P00278,CHILD_SCHOOL,PL_W36880098
P00279,HOME,PL_W30966659
P00279,WORK,PL_N3791777257
P00280,HOME,PL_W31451096
P00280,WORK,PL_W59244475
P00281,HOME,PL_W59434209
P00281,UNIVERSITY,PL_N547498239
P00282,HOME,PL_W114706475
P00282,WORK,PL_W662259412
P00283,HOME,PL_W31811118
P00283,WORK,PL_W801930757
P00284,HOME,PL_W705845652
P00284,WORK,PL_W1541291357
P00285,HOME,PL_W661957308
P00285,WORK,PL_W662766749
P00286,HOME,PL_W705565529
P00286,WORK,PL_N6334487386
P00287,HOME,PL_W41405394
P00287,WORK,PL_W33764719
P00288,HOME,PL_W31373428
P00288,WORK,PL_W148646768
P00289,HOME,PL_W34777546
P00289,WORK,PL_W33513200
P00289,CHILD_SCHOOL,PL_W36331867
P00290,HOME,PL_W659547575
P00290,WORK,PL_N2625364677
P00290,CHILD_SCHOOL,PL_W704292292
P00291,HOME,PL_W662762554
P00291,WORK,PL_W662762554
P00292,HOME,PL_W704229406
P00292,WORK,PL_N12895817528
P00293,HOME,PL_W705563017
P00293,UNIVERSITY,PL_N7797321403
P00294,HOME,PL_W659446089
P00294,WORK,PL_N1244922919
P00295,HOME,PL_W660602812
P00295,WORK,PL_W935887012
P00296,HOME,PL_W1163968780
P00296,WORK,PL_W286262607
P00297,HOME,PL_W661779279
P00297,WORK,PL_W32706591
P00297,CHILD_SCHOOL,PL_W36880101
P00298,HOME,PL_W287416032
P00298,WORK,PL_W112757867
P00299,HOME,PL_W660601348
P00299,WORK,PL_W669604299
P00300,HOME,PL_W1163968779
P00300,WORK,PL_W55029942
P00301,HOME,PL_W660347861
P00301,WORK,PL_N3729410887
P00301,CHILD_SCHOOL,PL_W224816012
P00302,HOME,PL_W143657050
P00302,WORK,PL_W56238428
P00302,CHILD_SCHOOL,PL_W705125019
P00303,HOME,PL_W31757277
P00303,WORK,PL_N13667122343
P00304,HOME,PL_W863282987
P00304,WORK,PL_N2704939079
P00305,HOME,PL_W31617613
P00305,WORK,PL_W33570228
P00306,HOME,PL_W704229383
P00306,WORK,PL_W58362432
P00307,HOME,PL_W31757258
P00307,WORK,PL_W661251352
P00308,HOME,PL_W660602017
P00308,WORK,PL_W43805669
P00309,HOME,PL_W704946498
P00309,WORK,PL_N6546274462
P00310,HOME,PL_W35836410
P00310,WORK,PL_N2346786893
P00310,CHILD_SCHOOL,PL_W285896860
P00311,HOME,PL_W661050661
P00311,WORK,PL_N6561911453
P00312,HOME,PL_W704946496
P00312,WORK,PL_W674573763
P00313,HOME,PL_W114706279
P00313,WORK,PL_W436018569
P00314,HOME,PL_W661957494
P00314,WORK,PL_W31249292
P00314,CHILD_SCHOOL,PL_W25775106
P00315,HOME,PL_W661469864
P00315,WORK,PL_N214312005
P00315,CHILD_SCHOOL,PL_N5413474408
P00316,HOME,PL_W702141525
P00316,WORK,PL_W61011663
P00317,HOME,PL_W660585427
P00317,WORK,PL_N13041844671
P00317,CHILD_SCHOOL,PL_W37404404
P00318,HOME,PL_W659838177
P00318,WORK,PL_W67132136
P00318,CHILD_SCHOOL,PL_W36817966
P00319,HOME,PL_W31617616
P00319,WORK,PL_W31451804
P00319,CHILD_SCHOOL,PL_W65239313
P00320,HOME,PL_W31451020
P00320,WORK,PL_N6565345448
P00321,HOME,PL_W1341302908
P00321,UNIVERSITY,PL_N13879320058
P00322,HOME,PL_W659831264
