person_id,organization_id,team_id,member_role,work_place_id,match_distance_m,match_confidence
P00027,ORG_UNRES_W704731338,ORG_UNRES_W704731338_T001,行政专员,PL_W704731338,0.0,unresolved
P00028,ORG_W93810037,ORG_W93810037_T001,软件工程师,PL_W93810037,0.0,verified
P00029,ORG_UNRES_W660636413,ORG_UNRES_W660636413_T001,咨询顾问,PL_W660636413,0.0,unresolved
P00030,ORG_UNRES_W457493164,ORG_UNRES_W457493164_T001,独立程序员,PL_W457493164,0.0,unresolved
P00031,ORG_N6181447582,ORG_N6181447582_T001,会计,PL_N6181447582,0.0,verified
P00032,ORG_N6309928577,ORG_N6309928577_T001,项目经理,PL_W658018645,43.9,medium
P00033,ORG_N3007175447,ORG_N3007175447_T001,财务经理,PL_W953878382,48.2,medium
P00034,ORG_UNRES_W43806818,ORG_UNRES_W43806818_T001,维修技师,PL_W43806818,0.0,unresolved
P00035,ORG_N13717400049,ORG_N13717400049_T001,美容师,PL_N13717400049,0.0,verified
P00036,ORG_W31754521,ORG_W31754521_T001,翻译,PL_W31754521,0.0,verified
P00037,ORG_W58673690,ORG_W58673690_T001,设备操作员,PL_W58673686,89.3,medium
P00038,ORG_N6175713509,ORG_N6175713509_T001,采购专员,PL_W59244428,8.4,high
P00039,ORG_W58646801,ORG_W58646801_T001,焊工,PL_W58646801,0.0,verified
P00040,ORG_UNRES_W302935292,ORG_UNRES_W302935292_T001,建筑工人,PL_W302935292,0.0,unresolved
P00041,ORG_W662100610,ORG_W662100610_T001,采购经理,PL_W662100744,73.8,medium
P00042,ORG_N6621951597,ORG_N6621951597_T001,健身教练,PL_N6621951597,0.0,verified
P00043,ORG_N11115201179,ORG_N11115201179_T001,本科生,PL_N11115201179,0.0,verified
P00044,ORG_UNRES_W669624360,ORG_UNRES_W669624360_T001,客户经理,PL_W669624360,0.0,unresolved
P00045,ORG_N7751982695,ORG_N7751982695_T001,财务主管,PL_W31926854,45.5,medium
P00046,ORG_UNRES_W34749604,ORG_UNRES_W34749604_T001,软件工程师,PL_W34749604,0.0,unresolved
P00047,ORG_N6549810550,ORG_N6549810550_T001,采购专员,PL_W661897517,29.7,medium
P00048,ORG_UNRES_W659322530,ORG_UNRES_W659322530_T001,高级软件工程师,PL_W659322530,0.0,unresolved
P00049,ORG_N11663588957,ORG_N11663588957_T001,客户专员,PL_W943602453,33.4,medium
P00050,ORG_W229563603,ORG_W229563603_T001,销售代表,PL_W229563603,0.0,verified
P00051,ORG_W58567258,ORG_W58567258_T001,搬运工,PL_W58567258,0.0,verified
P00052,ORG_N13582570978,ORG_N13582570978_T001,客户经理,PL_W302103495,49.9,medium
P00053,ORG_UNRES_W185655076,ORG_UNRES_W185655076_T001,汽车技师,PL_W185655076,0.0,unresolved
P00054,ORG_W27767634,ORG_W27767634_T001,行政专员,PL_W27767634,0.0,verified
P00055,ORG_UNRES_W670272316,ORG_UNRES_W670272316_T001,财务专员,PL_W670272316,0.0,unresolved
P00056,ORG_UNRES_W165787889,ORG_UNRES_W165787889_T001,高级软件工程师,PL_W165787889,0.0,unresolved
P00057,ORG_W115222390,ORG_W115222390_T001,财务专员,PL_W115222390,0.0,verified
P00058,ORG_UNRES_W33296742,ORG_UNRES_W33296742_T001,搬运工,PL_W33296742,0.0,unresolved
P00059,ORG_W34582534,ORG_W34582534_T001,软件工程师,PL_W34582534,0.0,verified
P00060,ORG_W23447424,ORG_W23447424_T001,硕士研究生,PL_W23447424,0.0,verified
P00061,ORG_N5478431221,ORG_N5478431221_T001,咖啡师,PL_N5478431221,0.0,verified
P00062,ORG_N5508838727,ORG_N5508838727_T001,自由销售,PL_N5508838727,0.0,verified
P00063,ORG_UNRES_W33362896,ORG_UNRES_W33362896_T001,汽车技师,PL_W33362896,0.0,unresolved
P00064,ORG_W61010490,ORG_W61010490_T001,自由设计师,PL_W61010490,0.0,verified
P00065,ORG_N6558113016,ORG_N6558113016_T001,产品经理,PL_W659632945,50.9,medium
P00066,ORG_N7578550206,ORG_N7578550206_T001,保安,PL_N7578550206,0.0,verified
P00067,ORG_N6549452007,ORG_N6549452007_T001,保安,PL_N6549452007,0.0,verified
P00068,ORG_UNRES_W66984063,ORG_UNRES_W66984063_T001,运营专员,PL_W66984063,0.0,unresolved
P00069,ORG_N5169424170,ORG_N5169424170_T001,行政专员,PL_N5169424170,0.0,verified
P00070,ORG_N9230904959,ORG_N9230904959_T001,私教,PL_N9230904959,0.0,verified
P00071,ORG_UNRES_W660248239,ORG_UNRES_W660248239_T001,配送员,PL_W660248239,0.0,unresolved
P00072,ORG_UNRES_W34582782,ORG_UNRES_W34582782_T001,建筑工人,PL_W34582782,0.0,unresolved
P00073,ORG_N6736714235,ORG_N6736714235_T001,房产经纪,PL_W34582270,55.3,medium
P00074,ORG_W80378604,ORG_W80378604_T002,销售经理,PL_W80378604,0.0,verified
P00075,ORG_N8822751259,ORG_N8822751259_T001,高级数据分析师,PL_W678508073,91.8,medium
P00076,ORG_N6448767788,ORG_N6448767788_T001,采购经理,PL_W663828131,48.7,medium
P00077,ORG_UNRES_W573332603,ORG_UNRES_W573332603_T001,自由销售,PL_W573332603,0.0,unresolved
P00078,ORG_UNRES_W659829644,ORG_UNRES_W659829644_T001,独立承包商,PL_W659829644,0.0,unresolved
P00079,ORG_W231284913,ORG_W231284913_T001,客服,PL_W231284913,0.0,verified
P00080,ORG_UNRES_W398743849,ORG_UNRES_W398743849_T001,设备操作员,PL_W398743849,0.0,unresolved
P00081,ORG_N2117820215,ORG_N2117820215_T001,零售店员,PL_N2117820215,0.0,verified
P00082,ORG_N3326906383,ORG_N3326906383_T001,财务经理,PL_N3326906383,0.0,verified
P00083,ORG_N6323402035,ORG_N6323402035_T001,美容师,PL_N6323402035,0.0,verified
P00084,ORG_N3206983509,ORG_N3206983509_T001,咖啡师,PL_N3206983509,0.0,verified
P00085,ORG_N803168349,ORG_N803168349_T001,运营经理,PL_W598637693,36.4,medium
P00086,ORG_N13011543841,ORG_N13011543841_T001,零售店员,PL_N13011543841,0.0,verified
P00087,ORG_N13374681271,ORG_N13374681271_T001,高级软件工程师,PL_W661194117,53.0,medium
P00088,ORG_UNRES_W659454661,ORG_UNRES_W659454661_T001,私教,PL_W659454661,0.0,unresolved
P00089,ORG_W27767627,ORG_W27767627_T001,采购专员,PL_W27767627,0.0,verified
P00090,ORG_N12456228544,ORG_N12456228544_T001,网店经营者,PL_N12456228544,0.0,verified
P00091,ORG_N4507572289,ORG_N4507572289_T001,本科生,PL_N4507572289,0.0,verified
P00092,ORG_N9810859614,ORG_N9810859614_T001,房产经纪,PL_N9810859614,0.0,verified
P00093,ORG_N7574259926,ORG_N7574259926_T001,美容师,PL_N7574259926,0.0,verified
P00094,ORG_N9633703338,ORG_N9633703338_T001,硕士研究生,PL_N9633703338,0.0,verified
P00095,ORG_UNRES_W59146421,ORG_UNRES_W59146421_T001,高级运营专员,PL_W59146421,0.0,unresolved
P00096,ORG_W195412354,ORG_W195412354_T001,数据分析师,PL_W796687023,81.0,medium
P00097,ORG_N276474692,ORG_N276474692_T001,咖啡师,PL_N276474692,0.0,verified
P00098,ORG_N4285491274,ORG_N4285491274_T001,健身教练,PL_N4285491274,0.0,verified
P00099,ORG_W505921693,ORG_W505921693_T001,硕士研究生,PL_W505921693,0.0,verified
P00100,ORG_W58362432,ORG_W58362432_T001,HR经理,PL_W670293204,17.0,high
P00101,ORG_UNRES_W659588028,ORG_UNRES_W659588028_T001,配送员,PL_W659588028,0.0,unresolved
P00102,ORG_N1458108002,ORG_N1458108002_T001,理发师,PL_N1458108002,0.0,verified
P00103,ORG_N7797311506,ORG_N7797311506_T001,美容师,PL_N7797311506,0.0,verified
P00104,ORG_N4171613669,ORG_N4171613669_T001,会计,PL_W402197619,4.2,high
P00105,ORG_UNRES_W32596553,ORG_UNRES_W32596553_T001,高级数据分析师,PL_W32596553,0.0,unresolved
P00106,ORG_UNRES_W1037818938,ORG_UNRES_W1037818938_T001,网店经营者,PL_W1037818938,0.0,unresolved
P00107,ORG_N686709932,ORG_N686709932_T001,厨师,PL_N686709932,0.0,verified
P00108,ORG_W23447514,ORG_W23447514_T001,博士研究生,PL_W23447514,0.0,verified
P00109,ORG_N13885908649,ORG_N13885908649_T001,会计,PL_N13885908649,0.0,verified
P00110,ORG_N13141019891,ORG_N13141019891_T001,软件工程师,PL_N13141019891,0.0,verified
P00111,ORG_N11961730316,ORG_N11961730316_T001,运营经理,PL_W661078033,5.3,high
P00112,ORG_N7797305033,ORG_N7797305033_T001,销售经理,PL_N7797305033,0.0,verified
P00113,ORG_W266875413,ORG_W266875413_T001,客户专员,PL_W266875413,0.0,verified
P00114,ORG_N11037727634,ORG_N11037727634_T001,餐厅服务员,PL_N11037727634,0.0,verified
P00115,ORG_W363351235,ORG_W363351235_T001,行政专员,PL_W363351235,0.0,verified
P00116,ORG_UNRES_W677770991,ORG_UNRES_W677770991_T001,快递员,PL_W677770991,0.0,unresolved
P00117,ORG_UNRES_W660636992,ORG_UNRES_W660636992_T001,咨询顾问,PL_W660636992,0.0,unresolved
P00118,ORG_W298176032,ORG_W298176032_T001,电工,PL_W953878382,75.0,medium
P00119,ORG_W61429979,ORG_W61429979_T001,高级软件工程师,PL_W61429979,0.0,verified
P00120,ORG_UNRES_W43809844,ORG_UNRES_W43809844_T001,HR经理,PL_W43809844,0.0,unresolved
P00121,ORG_N6542570343,ORG_N6542570343_T001,餐厅服务员,PL_N6542570343,0.0,verified
P00122,ORG_N6538304663,ORG_N6538304663_T001,美容师,PL_N6538304663,0.0,verified
P00123,ORG_N10977886210,ORG_N10977886210_T001,硕士研究生,PL_N10977886210,0.0,verified
P00124,ORG_UNRES_W58361992,ORG_UNRES_W58361992_T001,快递员,PL_W58361992,0.0,unresolved
P00125,ORG_UNRES_W66983851,ORG_UNRES_W66983851_T001,仓库操作员,PL_W66983851,0.0,unresolved
P00126,ORG_UNRES_W400575633,ORG_UNRES_W400575633_T001,软件工程师,PL_W400575633,0.0,unresolved
P00127,ORG_N3672015342,ORG_N3672015342_T001,理发师,PL_N3672015342,0.0,verified
P00128,ORG_UNRES_W313908676,ORG_UNRES_W313908676_T001,网店经营者,PL_W313908676,0.0,unresolved
P00129,ORG_W43417475,ORG_W43417475_T001,设计师,PL_W43417475,0.0,verified
P00130,ORG_N6551695028,ORG_N6551695028_T001,数据分析师,PL_N6551695028,0.0,verified
P00131,ORG_N13932260738,ORG_N13932260738_T001,零售店员,PL_N13932260738,0.0,verified
P00132,ORG_W33013888,ORG_W33013888_T001,本科生,PL_W33013888,0.0,verified
P00133,ORG_W353252514,ORG_W353252514_T001,房产经纪,PL_W66979920,43.4,medium
P00134,ORG_N9672889271,ORG_N9672889271_T001,高级数据分析师,PL_W421084023,44.6,medium
P00135,ORG_UNRES_W904554236,ORG_UNRES_W904554236_T001,网店经营者,PL_W904554236,0.0,unresolved
P00136,ORG_UNRES_W32507037,ORG_UNRES_W32507037_T001,快递员,PL_W32507037,0.0,unresolved
P00137,ORG_W661951775,ORG_W661951775_T001,卡车司机,PL_W661951775,0.0,verified
P00138,ORG_UNRES_W291464330,ORG_UNRES_W291464330_T001,高级数据分析师,PL_W291464330,0.0,unresolved
P00139,ORG_UNRES_W176968753,ORG_UNRES_W176968753_T001,采购专员,PL_W176968753,0.0,unresolved
P00140,ORG_W32624097,ORG_W32624097_T001,销售代表,PL_W32624097,0.0,verified
P00141,ORG_W23201612,ORG_W23201612_T001,设计师,PL_W23201612,0.0,verified
P00142,ORG_N13609461843,ORG_N13609461843_T001,独立程序员,PL_N13609461843,0.0,verified
P00143,ORG_N11037686277,ORG_N11037686277_T001,财务专员,PL_W661770747,4.3,high
P00144,ORG_UNRES_W678933220,ORG_UNRES_W678933220_T001,项目经理,PL_W678933220,0.0,unresolved
P00145,ORG_W662763557,ORG_W662763557_T001,客户专员,PL_W662763557,0.0,verified
P00146,ORG_W70510674,ORG_W70510674_T001,行政专员,PL_W70510674,0.0,verified
P00147,ORG_UNRES_W804386850,ORG_UNRES_W804386850_T001,项目经理,PL_W804386850,0.0,unresolved
P00148,ORG_UNRES_W661076721,ORG_UNRES_W661076721_T001,自由销售,PL_W661076721,0.0,unresolved
P00149,ORG_W288106846,ORG_W288106846_T001,酒店服务人员,PL_W288106846,0.0,verified
P00150,ORG_N9550175417,ORG_N9550175417_T001,本科生,PL_N9550175417,0.0,verified
P00151,ORG_W103619676,ORG_W103619676_T001,快递员,PL_W103619594,88.9,medium
P00152,ORG_N8639235068,ORG_N8639235068_T001,健身教练,PL_N8639235068,0.0,verified
P00153,ORG_N5440279122,ORG_N5440279122_T001,自由销售,PL_W69706533,51.5,medium
P00154,ORG_W34614474,ORG_W34614474_T002,客户经理,PL_W34614474,0.0,verified
P00155,ORG_N968464560,ORG_N968464560_T001,客服,PL_N968464560,0.0,verified
P00156,ORG_N12995038539,ORG_N12995038539_T001,自由销售,PL_N12995038539,0.0,verified
P00157,ORG_N2294991326,ORG_N2294991326_T001,数据分析师,PL_N2294991326,0.0,verified
P00158,ORG_W662100610,ORG_W662100610_T001,采购经理,PL_W674557300,59.2,medium
P00159,ORG_W25636424,ORG_W25636424_T001,收银员,PL_W25636424,0.0,verified
P00160,ORG_N6334374243,ORG_N6334374243_T001,采购专员,PL_N6334374243,0.0,verified
P00161,ORG_N4966102778,ORG_N4966102778_T001,项目经理,PL_W33561679,9.1,high
P00162,ORG_UNRES_W659422197,ORG_UNRES_W659422197_T001,产品经理,PL_W659422197,0.0,unresolved
P00163,ORG_W58936360,ORG_W58936360_T001,酒店前台,PL_W58936360,0.0,verified
P00164,ORG_N13582570978,ORG_N13582570978_T001,项目经理,PL_W55647680,7.3,high
P00165,ORG_N11800701980,ORG_N11800701980_T001,咖啡师,PL_N11800701980,0.0,verified
P00166,ORG_UNRES_W703776808,ORG_UNRES_W703776808_T001,区域经理,PL_W703776808,0.0,unresolved
P00167,ORG_W663827160,ORG_W663827160_T001,高级数据分析师,PL_W1099743736,5.1,high
P00168,ORG_UNRES_W661292604,ORG_UNRES_W661292604_T001,安装工,PL_W661292604,0.0,unresolved
P00169,ORG_UNRES_W704634881,ORG_UNRES_W704634881_T001,项目经理,PL_W704634881,0.0,unresolved
P00170,ORG_W35491449,ORG_W35491449_T001,电工,PL_W35491449,0.0,verified
P00171,ORG_N3941602078,ORG_N3941602078_T001,客服,PL_N3941602088,23.3,high
P00172,ORG_W34749730,ORG_W34749730_T001,酒店前台,PL_W34749730,0.0,verified
P00173,ORG_UNRES_W67139134,ORG_UNRES_W67139134_T001,数据分析师,PL_W67139134,0.0,unresolved
P00174,ORG_UNRES_W180167448,ORG_UNRES_W180167448_T001,电工,PL_W180167448,0.0,unresolved
P00175,ORG_W25491342,ORG_W25491342_T002,酒店服务人员,PL_W25491342,0.0,verified
P00176,ORG_N13608377256,ORG_N13608377256_T001,运营专员,PL_N13608377256,0.0,verified
P00177,ORG_UNRES_W664732076,ORG_UNRES_W664732076_T001,快递员,PL_W664732076,0.0,unresolved
P00178,ORG_UNRES_W659548975,ORG_UNRES_W659548975_T001,翻译,PL_W659548975,0.0,unresolved
P00179,ORG_W115222390,ORG_W115222390_T001,产品经理,PL_W115222390,0.0,verified
P00180,ORG_UNRES_W661049738,ORG_UNRES_W661049738_T001,运营专员,PL_W661049738,0.0,unresolved
P00181,ORG_N13976324239,ORG_N13976324239_T001,产品经理,PL_N13976324239,0.0,verified
P00182,ORG_N11961730316,ORG_N11961730316_T001,销售代表,PL_W661077890,98.0,medium
P00183,ORG_N13944161395,ORG_N13944161395_T001,美容师,PL_N13944161395,0.0,verified
P00184,ORG_W141284992,ORG_W141284992_T001,HR经理,PL_W141284992,0.0,verified
P00185,ORG_N6341947267,ORG_N6341947267_T001,收银员,PL_N6341947267,0.0,verified
P00186,ORG_N6370888056,ORG_N6370888056_T001,零售店员,PL_N6370888056,0.0,verified
P00187,ORG_N1125532862,ORG_N1125532862_T001,高级软件工程师,PL_W660624564,29.5,medium
P00188,ORG_N804608061,ORG_N804608061_T001,HR经理,PL_W796670679,76.0,medium
P00189,ORG_W180193897,ORG_W180193897_T001,高级运营专员,PL_W180193897,0.0,verified
P00190,ORG_W150506087,ORG_W150506087_T002,酒店服务人员,PL_W150506087,0.0,verified
P00191,ORG_UNRES_W661263197,ORG_UNRES_W661263197_T001,翻译,PL_W661263197,0.0,unresolved
P00192,ORG_UNRES_W671876643,ORG_UNRES_W671876643_T001,销售代表,PL_W671876643,0.0,unresolved
P00193,ORG_UNRES_W60516143,ORG_UNRES_W60516143_T001,安装工,PL_W60516143,0.0,unresolved
P00194,ORG_UNRES_W703251903,ORG_UNRES_W703251903_T001,翻译,PL_W703251903,0.0,unresolved
P00195,ORG_N7797331451,ORG_N7797331451_T001,硕士研究生,PL_N7797331451,0.0,verified
P00196,ORG_N6552111897,ORG_N6552111897_T001,美容师,PL_N6552111897,0.0,verified
P00197,ORG_N9133561186,ORG_N9133561186_T001,自由销售,PL_W56724000,57.2,medium
P00198,ORG_W1504222043,ORG_W1504222043_T001,本科生,PL_W1504222043,0.0,verified
P00199,ORG_N6491618253,ORG_N6491618253_T001,美容师,PL_N6491618253,0.0,verified
P00200,ORG_N12919738554,ORG_N12919738554_T001,美容师,PL_N12919738554,0.0,verified
P00201,ORG_W25650677,ORG_W25650677_T001,HR经理,PL_W25650677,0.0,verified
P00202,ORG_UNRES_W659243961,ORG_UNRES_W659243961_T001,自媒体从业者,PL_W659243961,0.0,unresolved
P00203,ORG_N13157166833,ORG_N13157166833_T001,私教,PL_N13157166833,0.0,verified
P00204,ORG_N3811486813,ORG_N3811486813_T001,高级软件工程师,PL_N3811486813,0.0,verified
P00205,ORG_UNRES_W659138583,ORG_UNRES_W659138583_T001,设计师,PL_W659138583,0.0,unresolved
P00206,ORG_W27767624,ORG_W27767624_T001,运营专员,PL_W27767624,0.0,verified
P00207,ORG_N12821333240,ORG_N12821333240_T001,设计师,PL_N12821333240,0.0,verified
P00208,ORG_UNRES_W676111885,ORG_UNRES_W676111885_T001,安装工,PL_W676111885,0.0,unresolved
P00209,ORG_W170244790,ORG_W170244790_T001,酒店前台,PL_W170244790,0.0,verified
P00210,ORG_N12596689453,ORG_N12596689453_T001,翻译,PL_N12596689453,0.0,verified
P00211,ORG_W662098193,ORG_W662098193_T001,客服,PL_W662098193,0.0,verified
P00212,ORG_N6334228526,ORG_N6334228526_T001,零售店员,PL_N6334228526,0.0,verified
P00213,ORG_N4327300545,ORG_N4327300545_T001,高级产品经理,PL_N4327300545,0.0,verified
P00214,ORG_N3326486318,ORG_N3326486318_T001,客服,PL_N3326486318,0.0,verified
P00215,ORG_N13281966301,ORG_N13281966301_T001,美容师,PL_N13281966301,0.0,verified
P00216,ORG_UNRES_W660807107,ORG_UNRES_W660807107_T001,快递员,PL_W660807107,0.0,unresolved
P00217,ORG_UNRES_W58431314,ORG_UNRES_W58431314_T001,HR经理,PL_W58431314,0.0,unresolved
P00218,ORG_N12326900682,ORG_N12326900682_T001,独立承包商,PL_N12326900682,0.0,verified
P00219,ORG_N2711784528,ORG_N2711784528_T001,零售店员,PL_N2711784528,0.0,verified
P00220,ORG_W659460157,ORG_W659460157_T001,高级运营专员,PL_W659459829,40.5,medium
P00221,ORG_W34582257,ORG_W34582257_T001,数据分析师,PL_W34582257,0.0,verified
P00222,ORG_N6543841089,ORG_N6543841089_T001,零售店员,PL_N6543841089,0.0,verified
P00223,ORG_UNRES_W659581419,ORG_UNRES_W659581419_T001,销售代表,PL_W659581419,0.0,unresolved
P00224,ORG_UNRES_W702169782,ORG_UNRES_W702169782_T001,网店经营者,PL_W702169782,0.0,unresolved
P00225,ORG_N6306326501,ORG_N6306326501_T001,零售店员,PL_N6306326501,0.0,verified
P00226,ORG_W805392730,ORG_W805392730_T001,设计师,PL_W805392730,0.0,verified
P00227,ORG_N10221864570,ORG_N10221864570_T001,厨师,PL_N10221864570,0.0,verified
P00228,ORG_UNRES_W34554802,ORG_UNRES_W34554802_T001,房产经纪,PL_W34554802,0.0,unresolved
P00229,ORG_N6546233079,ORG_N6546233079_T001,咖啡师,PL_N6546233079,0.0,verified
P00230,ORG_N6535127740,ORG_N6535127740_T001,餐厅服务员,PL_N6535127740,0.0,verified
P00231,ORG_N12227880714,ORG_N12227880714_T001,本科生,PL_N12227880714,0.0,verified
P00232,ORG_UNRES_W705170964,ORG_UNRES_W705170964_T001,数据分析师,PL_W705170964,0.0,unresolved
P00233,ORG_W62058576,ORG_W62058576_T001,会计,PL_W62058576,0.0,verified
P00234,ORG_UNRES_W1091080136,ORG_UNRES_W1091080136_T001,仓库操作员,PL_W1091080136,0.0,unresolved
P00235,ORG_UNRES_W34484468,ORG_UNRES_W34484468_T001,卡车司机,PL_W34484468,0.0,unresolved
P00236,ORG_N5706236065,ORG_N5706236065_T002,销售代表,PL_W599480360,41.6,medium
P00237,ORG_W195846567,ORG_W195846567_T001,厨师,PL_W195846567,0.0,verified
P00238,ORG_N13719653017,ORG_N13719653017_T001,餐厅服务员,PL_N13719653017,0.0,verified
P00239,ORG_W231773826,ORG_W231773826_T002,酒店前台,PL_W231773826,0.0,verified
P00240,ORG_N13783178348,ORG_N13783178348_T001,美容师,PL_N13783178348,0.0,verified
P00241,ORG_N8893534012,ORG_N8893534012_T001,采购专员,PL_N8893534012,0.0,verified
P00242,ORG_N2681580824,ORG_N2681580824_T001,博士研究生,PL_N2681580824,0.0,verified
P00243,ORG_N6481876648,ORG_N6481876648_T001,高级数据分析师,PL_N6481876648,0.0,verified
P00244,ORG_W61759776,ORG_W61759776_T001,本科生,PL_W61759776,0.0,verified
P00245,ORG_UNRES_W804394054,ORG_UNRES_W804394054_T001,客户经理,PL_W804394054,0.0,unresolved
P00246,ORG_W200089381,ORG_W200089381_T001,收银员,PL_W200089381,0.0,verified
P00247,ORG_UNRES_W89185218,ORG_UNRES_W89185218_T001,高级软件工程师,PL_W89185218,0.0,unresolved
P00248,ORG_UNRES_W662442429,ORG_UNRES_W662442429_T001,维修技师,PL_W662442429,0.0,unresolved
P00249,ORG_N5861434785,ORG_N5861434785_T001,客户专员,PL_W314664870,3.0,high
P00250,ORG_UNRES_W420792789,ORG_UNRES_W420792789_T001,软件工程师,PL_W420792789,0.0,unresolved
P00251,ORG_N6415420668,ORG_N6415420668_T001,独立承包商,PL_N6415420668,0.0,verified
P00252,ORG_UNRES_W660807044,ORG_UNRES_W660807044_T001,高级数据分析师,PL_W660807044,0.0,unresolved
P00253,ORG_UNRES_W661314422,ORG_UNRES_W661314422_T001,设备操作员,PL_W661314422,0.0,unresolved
P00254,ORG_N5721034443,ORG_N5721034443_T001,保安,PL_N5721034443,0.0,verified
P00255,ORG_UNRES_W1350503254,ORG_UNRES_W1350503254_T001,数据分析师,PL_W1350503254,0.0,unresolved
P00256,ORG_UNRES_W660075325,ORG_UNRES_W660075325_T001,自由设计师,PL_W660075325,0.0,unresolved
P00257,ORG_UNRES_W58325196,ORG_UNRES_W58325196_T001,汽车技师,PL_W58325196,0.0,unresolved
P00258,ORG_N2405832059,ORG_N2405832059_T001,自由设计师,PL_N2405832059,0.0,verified
P00259,ORG_N8550950821,ORG_N8550950821_T001,销售经理,PL_W61759775,70.4,medium
P00260,ORG_UNRES_W659422197,ORG_UNRES_W659422197_T001,汽车技师,PL_W659422197,0.0,unresolved
P00261,ORG_N14100912622,ORG_N14100912622_T001,咖啡师,PL_N14100912622,0.0,verified
P00262,ORG_N8776885249,ORG_N8776885249_T001,高级软件工程师,PL_N8776885249,0.0,verified
P00263,ORG_N6426770908,ORG_N6426770908_T001,产品经理,PL_N6426770908,0.0,verified
P00264,ORG_W35155100,ORG_W35155100_T001,酒店前台,PL_W35155100,0.0,verified
P00265,ORG_N5249129253,ORG_N5249129253_T001,餐厅服务员,PL_N5249129253,0.0,verified
P00266,ORG_UNRES_W66979680,ORG_UNRES_W66979680_T001,高级运营专员,PL_W66979680,0.0,unresolved
P00267,ORG_W33189807,ORG_W33189807_T001,运营经理,PL_W33189807,0.0,verified
P00268,ORG_N6306326488,ORG_N6306326488_T001,零售店员,PL_N9627769801,33.5,medium
P00269,ORG_N4640688023,ORG_N4640688023_T001,理发师,PL_N4640688023,0.0,verified
P00270,ORG_N1172146388,ORG_N1172146388_T001,健身教练,PL_N1172146388,0.0,verified
P00271,ORG_W663871232,ORG_W663871232_T001,销售代表,PL_W663871232,0.0,verified
P00272,ORG_N10969431953,ORG_N10969431953_T001,采购专员,PL_N10969431953,0.0,verified
P00273,ORG_W1268267050,ORG_W1268267050_T001,硕士研究生,PL_W1268267050,0.0,verified
P00274,ORG_UNRES_W205716722,ORG_UNRES_W205716722_T001,卡车司机,PL_W205716722,0.0,unresolved
P00275,ORG_N7559857500,ORG_N7559857500_T001,客服,PL_N7559857500,0.0,verified
P00276,ORG_UNRES_W661919736,ORG_UNRES_W661919736_T001,汽车技师,PL_W661919736,0.0,unresolved
P00277,ORG_UNRES_W658961508,ORG_UNRES_W658961508_T001,销售经理,PL_W658961508,0.0,unresolved
P00278,ORG_W34551490,ORG_W34551490_T001,厨师,PL_W34551490,0.0,verified
